PO Number,Account,Account Type,PO Date,Need By,Product,Class,Length,Material,Units,Net Price,Fulfilled,Delivered
PO-RW-3005,Cedar Point Rentals,Resort,10-Sep-2025,10-Oct-2025,RW-1378,Road,L,Carbon,2,3199,Yes,21-Sep-2025
PO-RW-3010,Sunset Ridge Rentals,Municipal,10-Sep-2025,22-Oct-2025,RW-9901,MTB,L,Base,3,1839,Yes,29-Sep-2025
PO-RW-3003,Basin Adventure Co,Resort,11-Sep-2025,09-Nov-2025,RW-2984,Road,M,Carbon,10,3199,Yes,28-Sep-2025
PO-RW-3006,Redstone Resort,Municipal,11-Sep-2025,11-Oct-2025,RW-9304,MTB,S,Carbon,6,3919,Yes,27-Sep-2025
PO-RW-3009,Frontier Tours,Resort,12-Sep-2025,05-Nov-2025,RW-9901,MTB,L,Base,9,1839,Yes,05-Oct-2025
PO-RW-3007,Riverfront Rentals,Tour operator,13-Sep-2025,12-Oct-2025,RW-9324,MTB,M,Base,18,1839,Yes,02-Oct-2025
PO-RW-3001,Northwest Corporate Wellness,Municipal,14-Sep-2025,04-Nov-2025,RW-3980,Road,S,Carbon,9,3199,Yes,24-Sep-2025
PO-RW-3002,Summit Resort Group,Corporate,14-Sep-2025,07-Nov-2025,RW-9835,Road,M,Base,21,1519,Yes,04-Oct-2025
PO-RW-3004,Pinnacle Corporate,University,14-Sep-2025,19-Oct-2025,RW-7298,Road,L,Base,12,1519,Yes,13-Oct-2025
PO-RW-3008,Summit Resort Group,Corporate,14-Sep-2025,12-Oct-2025,RW-4418,MTB,M,Carbon,7,3919,Yes,22-Sep-2025
PO-RW-3011,Foothills Municipal,Corporate,14-Sep-2025,22-Oct-2025,RW-6416,MTB,L,Carbon,1,3919,Yes,02-Oct-2025
PO-RW-3015,Valley Corporate Fleet,Resort,15-Sep-2025,05-Nov-2025,RW-7298,Road,L,Base,12,1519,Yes,29-Sep-2025
PO-RW-3021,Foothills Municipal,Corporate,15-Sep-2025,11-Nov-2025,RW-4418,MTB,M,Carbon,6,3919,Yes,27-Sep-2025
PO-RW-3014,Copper Canyon Tours,Municipal,16-Sep-2025,16-Oct-2025,RW-2984,Road,M,Carbon,6,3199,Yes,27-Sep-2025
PO-RW-3020,Riverfront Rentals,Tour operator,16-Sep-2025,22-Oct-2025,RW-9324,MTB,M,Base,1,1839,Yes,06-Oct-2025
PO-RW-3017,Cascade Tour Company,Rental fleet,17-Sep-2025,06-Nov-2025,RW-9304,MTB,S,Carbon,3,3919,Yes,24-Sep-2025
PO-RW-3022,Stonebridge Tours,Resort,18-Sep-2025,11-Oct-2025,RW-9901,MTB,L,Base,12,1839,Yes,17-Oct-2025
PO-RW-3016,Peak Season Tours,Tour operator,19-Sep-2025,16-Oct-2025,RW-1378,Road,L,Carbon,2,3199,Yes,29-Sep-2025
PO-RW-3019,Pinnacle Corporate,University,19-Sep-2025,10-Oct-2025,RW-9324,MTB,M,Base,8,1839,Yes,18-Oct-2025
PO-RW-3012,Bay Area Bike Rentals,Rental fleet,20-Sep-2025,18-Oct-2025,RW-3980,Road,S,Carbon,7,3199,Yes,04-Oct-2025
PO-RW-3013,Cascade Tour Company,Rental fleet,20-Sep-2025,16-Nov-2025,RW-9835,Road,M,Base,13,1519,Yes,10-Oct-2025
PO-RW-3018,Capital City Bike Share,Tour operator,20-Sep-2025,04-Nov-2025,RW-9324,MTB,M,Base,12,1839,Yes,09-Oct-2025
PO-RW-3023,High Country Tours,Tour operator,21-Sep-2025,13-Nov-2025,RW-6416,MTB,L,Carbon,6,3919,Yes,13-Oct-2025
PO-RW-3025,Bayfront Hotels,Resort,22-Sep-2025,18-Nov-2025,RW-9835,Road,M,Base,16,1519,Yes,17-Oct-2025
PO-RW-3027,Evergreen Corporate Campus,Municipal,22-Sep-2025,25-Oct-2025,RW-7298,Road,L,Base,10,1519,Yes,18-Oct-2025
PO-RW-3030,Foothills Municipal,Corporate,23-Sep-2025,27-Oct-2025,RW-9324,MTB,M,Base,17,1839,Yes,08-Oct-2025
PO-RW-3031,Bayfront Hotels,Resort,24-Sep-2025,01-Nov-2025,RW-4418,MTB,M,Carbon,6,3919,Yes,04-Oct-2025
PO-RW-3033,Capital City Bike Share,Tour operator,24-Sep-2025,18-Nov-2025,RW-6416,MTB,L,Carbon,2,3919,Yes,10-Oct-2025
