week_start,class,trim,capacity_units
2026-09-07,road,base,150
2026-09-14,road,base,150
2026-09-21,road,base,150
2026-09-28,road,base,150
2026-10-05,road,base,150
2026-10-12,road,base,150
2026-10-19,road,base,150
2026-10-26,road,base,150
2026-11-02,road,base,150
2026-11-09,road,base,150
2026-11-16,road,base,150
2026-11-23,road,base,150
2026-11-30,road,base,150
2026-12-07,road,base,150
2026-12-14,road,base,150
2026-12-21,road,base,150
2026-12-28,road,base,150
2027-01-04,road,base,150
2027-01-11,road,base,150
2027-01-18,road,base,150
2027-01-25,road,base,150
2027-02-01,road,base,150
2027-02-08,road,base,150
2027-02-15,road,base,150
2027-02-22,road,base,150
2027-03-01,road,base,150
2027-03-08,road,base,150
2027-03-15,road,base,150
2027-03-22,road,base,150
2027-03-29,road,base,150
2027-04-05,road,base,150
2027-04-12,road,base,150
2027-04-19,road,base,150
2027-04-26,road,base,150
2027-05-03,road,base,150
2027-05-10,road,base,150
2027-05-17,road,base,150
2027-05-24,road,base,150
2027-05-31,road,base,150
2027-06-07,road,base,150
2027-06-14,road,base,150
2027-06-21,road,base,150
2027-06-28,road,base,150
2027-07-05,road,base,150
2027-07-12,road,base,150
2027-07-19,road,base,150
2027-07-26,road,base,150
2027-08-02,road,base,150
2027-08-09,road,base,150
2027-08-16,road,base,150
2027-08-23,road,base,150
2027-08-30,road,base,150
2026-09-07,road,carbon,230
2026-09-14,road,carbon,230
2026-09-21,road,carbon,230
2026-09-28,road,carbon,230
2026-10-05,road,carbon,230
2026-10-12,road,carbon,230
2026-10-19,road,carbon,230
2026-10-26,road,carbon,230
2026-11-02,road,carbon,230
2026-11-09,road,carbon,230
2026-11-16,road,carbon,230
2026-11-23,road,carbon,230
2026-11-30,road,carbon,230
2026-12-07,road,carbon,230
2026-12-14,road,carbon,230
2026-12-21,road,carbon,230
2026-12-28,road,carbon,230
2027-01-04,road,carbon,230
2027-01-11,road,carbon,230
2027-01-18,road,carbon,230
2027-01-25,road,carbon,230
2027-02-01,road,carbon,230
2027-02-08,road,carbon,230
2027-02-15,road,carbon,230
2027-02-22,road,carbon,230
2027-03-01,road,carbon,230
2027-03-08,road,carbon,230
2027-03-15,road,carbon,230
2027-03-22,road,carbon,230
2027-03-29,road,carbon,230
2027-04-05,road,carbon,230
2027-04-12,road,carbon,230
2027-04-19,road,carbon,230
2027-04-26,road,carbon,230
2027-05-03,road,carbon,230
2027-05-10,road,carbon,230
2027-05-17,road,carbon,230
2027-05-24,road,carbon,230
2027-05-31,road,carbon,230
2027-06-07,road,carbon,230
2027-06-14,road,carbon,230
2027-06-21,road,carbon,230
2027-06-28,road,carbon,230
2027-07-05,road,carbon,230
2027-07-12,road,carbon,230
2027-07-19,road,carbon,230
2027-07-26,road,carbon,230
2027-08-02,road,carbon,230
2027-08-09,road,carbon,230
2027-08-16,road,carbon,230
2027-08-23,road,carbon,230
2027-08-30,road,carbon,230
2026-09-07,mtb,base,130
2026-09-14,mtb,base,130
2026-09-21,mtb,base,130
2026-09-28,mtb,base,130
2026-10-05,mtb,base,130
2026-10-12,mtb,base,130
2026-10-19,mtb,base,130
2026-10-26,mtb,base,130
2026-11-02,mtb,base,130
2026-11-09,mtb,base,130
2026-11-16,mtb,base,130
2026-11-23,mtb,base,130
2026-11-30,mtb,base,130
2026-12-07,mtb,base,130
2026-12-14,mtb,base,130
2026-12-21,mtb,base,130
2026-12-28,mtb,base,130
2027-01-04,mtb,base,130
2027-01-11,mtb,base,130
2027-01-18,mtb,base,130
2027-01-25,mtb,base,130
2027-02-01,mtb,base,130
2027-02-08,mtb,base,130
2027-02-15,mtb,base,130
2027-02-22,mtb,base,130
2027-03-01,mtb,base,130
2027-03-08,mtb,base,130
2027-03-15,mtb,base,130
2027-03-22,mtb,base,130
2027-03-29,mtb,base,130
2027-04-05,mtb,base,130
2027-04-12,mtb,base,130
2027-04-19,mtb,base,130
2027-04-26,mtb,base,130
2027-05-03,mtb,base,130
2027-05-10,mtb,base,130
2027-05-17,mtb,base,130
2027-05-24,mtb,base,130
2027-05-31,mtb,base,130
2027-06-07,mtb,base,130
2027-06-14,mtb,base,130
2027-06-21,mtb,base,130
2027-06-28,mtb,base,130
2027-07-05,mtb,base,130
2027-07-12,mtb,base,130
2027-07-19,mtb,base,130
2027-07-26,mtb,base,130
2027-08-02,mtb,base,130
2027-08-09,mtb,base,130
2027-08-16,mtb,base,130
2027-08-23,mtb,base,130
2027-08-30,mtb,base,130
2026-09-07,mtb,carbon,375
2026-09-14,mtb,carbon,375
2026-09-21,mtb,carbon,375
2026-09-28,mtb,carbon,375
2026-10-05,mtb,carbon,375
2026-10-12,mtb,carbon,375
2026-10-19,mtb,carbon,375
2026-10-26,mtb,carbon,375
2026-11-02,mtb,carbon,375
2026-11-09,mtb,carbon,375
2026-11-16,mtb,carbon,375
2026-11-23,mtb,carbon,375
2026-11-30,mtb,carbon,375
2026-12-07,mtb,carbon,375
2026-12-14,mtb,carbon,375
2026-12-21,mtb,carbon,375
2026-12-28,mtb,carbon,375
2027-01-04,mtb,carbon,375
2027-01-11,mtb,carbon,375
2027-01-18,mtb,carbon,375
2027-01-25,mtb,carbon,375
2027-02-01,mtb,carbon,375
2027-02-08,mtb,carbon,375
2027-02-15,mtb,carbon,375
2027-02-22,mtb,carbon,375
2027-03-01,mtb,carbon,375
2027-03-08,mtb,carbon,375
2027-03-15,mtb,carbon,375
2027-03-22,mtb,carbon,375
2027-03-29,mtb,carbon,375
2027-04-05,mtb,carbon,375
2027-04-12,mtb,carbon,375
2027-04-19,mtb,carbon,375
2027-04-26,mtb,carbon,375
2027-05-03,mtb,carbon,375
2027-05-10,mtb,carbon,375
2027-05-17,mtb,carbon,375
2027-05-24,mtb,carbon,375
2027-05-31,mtb,carbon,375
2027-06-07,mtb,carbon,375
2027-06-14,mtb,carbon,375
2027-06-21,mtb,carbon,375
2027-06-28,mtb,carbon,375
2027-07-05,mtb,carbon,375
2027-07-12,mtb,carbon,375
2027-07-19,mtb,carbon,375
2027-07-26,mtb,carbon,375
2027-08-02,mtb,carbon,375
2027-08-09,mtb,carbon,375
2027-08-16,mtb,carbon,375
2027-08-23,mtb,carbon,375
2027-08-30,mtb,carbon,375
2027-09-06,road,base,110
2027-09-13,road,base,110
2027-09-20,road,base,110
2027-09-27,road,base,110
2027-10-04,road,base,110
2027-10-11,road,base,110
2027-10-18,road,base,110
2027-10-25,road,base,110
2027-11-01,road,base,110
2027-11-08,road,base,110
2027-11-15,road,base,110
2027-11-22,road,base,110
2027-11-29,road,base,110
2027-12-06,road,base,110
2027-12-13,road,base,110
2027-12-20,road,base,110
2027-12-27,road,base,110
2028-01-03,road,base,110
2028-01-10,road,base,110
2028-01-17,road,base,110
2028-01-24,road,base,110
2028-01-31,road,base,110
2028-02-07,road,base,110
2028-02-14,road,base,110
2028-02-21,road,base,110
2028-02-28,road,base,110
2028-03-06,road,base,110
2028-03-13,road,base,110
2028-03-20,road,base,110
2028-03-27,road,base,110
2028-04-03,road,base,110
2028-04-10,road,base,110
2028-04-17,road,base,110
2028-04-24,road,base,110
2028-05-01,road,base,110
2028-05-08,road,base,110
2028-05-15,road,base,110
2028-05-22,road,base,110
2028-05-29,road,base,110
2028-06-05,road,base,110
2028-06-12,road,base,110
2028-06-19,road,base,110
2028-06-26,road,base,110
2028-07-03,road,base,110
2028-07-10,road,base,110
2028-07-17,road,base,110
2028-07-24,road,base,110
2028-07-31,road,base,110
2028-08-07,road,base,110
2028-08-14,road,base,110
2028-08-21,road,base,110
2028-08-28,road,base,110
2027-09-06,road,carbon,225
2027-09-13,road,carbon,225
2027-09-20,road,carbon,225
2027-09-27,road,carbon,225
2027-10-04,road,carbon,225
2027-10-11,road,carbon,225
2027-10-18,road,carbon,225
2027-10-25,road,carbon,225
2027-11-01,road,carbon,225
2027-11-08,road,carbon,225
2027-11-15,road,carbon,225
2027-11-22,road,carbon,225
2027-11-29,road,carbon,225
2027-12-06,road,carbon,225
2027-12-13,road,carbon,225
2027-12-20,road,carbon,225
2027-12-27,road,carbon,225
2028-01-03,road,carbon,225
2028-01-10,road,carbon,225
2028-01-17,road,carbon,225
2028-01-24,road,carbon,225
2028-01-31,road,carbon,225
2028-02-07,road,carbon,225
2028-02-14,road,carbon,225
2028-02-21,road,carbon,225
2028-02-28,road,carbon,225
2028-03-06,road,carbon,225
2028-03-13,road,carbon,225
2028-03-20,road,carbon,225
2028-03-27,road,carbon,225
2028-04-03,road,carbon,225
2028-04-10,road,carbon,225
2028-04-17,road,carbon,225
2028-04-24,road,carbon,225
2028-05-01,road,carbon,225
2028-05-08,road,carbon,225
2028-05-15,road,carbon,225
2028-05-22,road,carbon,225
2028-05-29,road,carbon,225
2028-06-05,road,carbon,225
2028-06-12,road,carbon,225
2028-06-19,road,carbon,225
2028-06-26,road,carbon,225
2028-07-03,road,carbon,225
2028-07-10,road,carbon,225
2028-07-17,road,carbon,225
2028-07-24,road,carbon,225
2028-07-31,road,carbon,225
2028-08-07,road,carbon,225
2028-08-14,road,carbon,225
2028-08-21,road,carbon,225
2028-08-28,road,carbon,225
2027-09-06,mtb,base,140
2027-09-13,mtb,base,140
2027-09-20,mtb,base,140
2027-09-27,mtb,base,140
2027-10-04,mtb,base,140
2027-10-11,mtb,base,140
2027-10-18,mtb,base,140
2027-10-25,mtb,base,140
2027-11-01,mtb,base,140
2027-11-08,mtb,base,140
2027-11-15,mtb,base,140
2027-11-22,mtb,base,140
2027-11-29,mtb,base,140
2027-12-06,mtb,base,140
2027-12-13,mtb,base,140
2027-12-20,mtb,base,140
2027-12-27,mtb,base,140
2028-01-03,mtb,base,140
2028-01-10,mtb,base,140
2028-01-17,mtb,base,140
2028-01-24,mtb,base,140
2028-01-31,mtb,base,140
2028-02-07,mtb,base,140
2028-02-14,mtb,base,140
2028-02-21,mtb,base,140
2028-02-28,mtb,base,140
2028-03-06,mtb,base,140
2028-03-13,mtb,base,140
2028-03-20,mtb,base,140
2028-03-27,mtb,base,140
2028-04-03,mtb,base,140
2028-04-10,mtb,base,140
2028-04-17,mtb,base,140
2028-04-24,mtb,base,140
2028-05-01,mtb,base,140
2028-05-08,mtb,base,140
2028-05-15,mtb,base,140
2028-05-22,mtb,base,140
2028-05-29,mtb,base,140
2028-06-05,mtb,base,140
2028-06-12,mtb,base,140
2028-06-19,mtb,base,140
2028-06-26,mtb,base,140
2028-07-03,mtb,base,140
2028-07-10,mtb,base,140
2028-07-17,mtb,base,140
2028-07-24,mtb,base,140
2028-07-31,mtb,base,140
2028-08-07,mtb,base,140
2028-08-14,mtb,base,140
2028-08-21,mtb,base,140
2028-08-28,mtb,base,140
2027-09-06,mtb,carbon,580
2027-09-13,mtb,carbon,580
2027-09-20,mtb,carbon,580
2027-09-27,mtb,carbon,580
2027-10-04,mtb,carbon,580
2027-10-11,mtb,carbon,580
2027-10-18,mtb,carbon,580
2027-10-25,mtb,carbon,580
2027-11-01,mtb,carbon,580
2027-11-08,mtb,carbon,580
2027-11-15,mtb,carbon,580
2027-11-22,mtb,carbon,580
2027-11-29,mtb,carbon,580
2027-12-06,mtb,carbon,580
2027-12-13,mtb,carbon,580
2027-12-20,mtb,carbon,580
2027-12-27,mtb,carbon,580
2028-01-03,mtb,carbon,580
2028-01-10,mtb,carbon,580
2028-01-17,mtb,carbon,580
2028-01-24,mtb,carbon,580
2028-01-31,mtb,carbon,580
2028-02-07,mtb,carbon,580
2028-02-14,mtb,carbon,580
2028-02-21,mtb,carbon,580
2028-02-28,mtb,carbon,580
2028-03-06,mtb,carbon,580
2028-03-13,mtb,carbon,580
