Dealer Order #,Dealer ID,Dealer Name,State,Order Date,Requested Ship Date,SKU,Class,Size,Trim,Qty,Wholesale Price,Fulfilled (Y/N),Shipped
DO-20004,D-131,Copperline Cycles,MA,09/08/2025,10/06/2025,RW-9835,Road,M,Base,12,1367,Y,09/28/2025
DO-20012,D-136,Capitol Cyclery,GA,09/08/2025,10/03/2025,RW-2984,Road,M,Carbon,3,2879,Y,10/03/2025
DO-20022,D-117,Mesa Verde Cycling,FL,09/08/2025,10/05/2025,RW-9304,MTB,S,Carbon,6,3527,Y,09/27/2025
DO-20027,D-132,Bayside Bicycle Co,PA,09/08/2025,09/27/2025,RW-9324,MTB,M,Base,1,1655,Y,09/23/2025
DO-20033,D-117,Mesa Verde Cycling,FL,09/08/2025,09/25/2025,RW-9901,MTB,L,Base,2,1655,Y,09/29/2025
DO-20001,D-124,Foothills Bicycles,WA,09/09/2025,09/24/2025,RW-3980,Road,S,Carbon,11,2879,Y,09/19/2025
DO-20006,D-102,Ridgeback Bikes,CO,09/09/2025,09/26/2025,RW-9835,Road,M,Base,10,1367,Y,10/01/2025
DO-20010,D-143,Overlook Bikes,OR,09/09/2025,10/02/2025,RW-2984,Road,M,Carbon,4,2879,Y,09/28/2025
DO-20015,D-102,Ridgeback Bikes,CO,09/09/2025,09/24/2025,RW-7298,Road,L,Base,12,1367,Y,09/20/2025
DO-20017,D-122,Evergreen Cycle Shop,CO,09/09/2025,10/07/2025,RW-7298,Road,L,Base,3,1367,Y,10/07/2025
DO-20026,D-102,Ridgeback Bikes,CO,09/09/2025,10/05/2025,RW-9324,MTB,M,Base,5,1655,Y,09/22/2025
DO-20032,D-116,Timberline Bikes,GA,09/09/2025,10/02/2025,RW-9901,MTB,L,Base,8,1655,Y,10/02/2025
DO-20018,D-102,Ridgeback Bikes,CO,09/10/2025,09/27/2025,RW-1378,Road,L,Carbon,7,2879,Y,10/03/2025
DO-20019,D-108,Canyon Edge Bikes,NC,09/10/2025,09/24/2025,RW-1378,Road,L,Carbon,6,2879,Y,09/18/2025
DO-20024,D-131,Copperline Cycles,MA,09/10/2025,10/02/2025,RW-9324,MTB,M,Base,9,1655,Y,10/01/2025
