Dealer #,Dealer,State,Item,On Hand,Count Date
D-101,Summit Cycles,CA,RW-1378,4,09/06/2026
D-101,Summit Cycles,CA,RW-2984,7,09/06/2026
D-101,Summit Cycles,CA,RW-3980,2,09/04/2026
D-101,Summit Cycles,CA,RW-6416,4,09/02/2026
D-101,Summit Cycles,CA,RW-7298,2,09/03/2026
D-101,Summit Cycles,CA,RW-9304,1,09/07/2026
D-101,Summit Cycles,CA,RW-9324,3,09/06/2026
D-101,Summit Cycles,CA,RW-9835,5,09/07/2026
D-101,Summit Cycles,CA,RW-9901,6,09/03/2026
D-102,Ridgeback Bikes,CO,RW-1378,4,09/07/2026
D-102,Ridgeback Bikes,CO,RW-2984,4,09/03/2026
D-102,Ridgeback Bikes,CO,RW-3980,1,09/05/2026
D-102,Ridgeback Bikes,CO,RW-4418,9,09/02/2026
D-102,Ridgeback Bikes,CO,RW-6416,1,09/04/2026
D-102,Ridgeback Bikes,CO,RW-7298,6,09/07/2026
D-102,Ridgeback Bikes,CO,RW-9304,1,09/03/2026
D-102,Ridgeback Bikes,CO,RW-9324,11,09/03/2026
D-102,Ridgeback Bikes,CO,RW-9835,2,09/04/2026
D-102,Ridgeback Bikes,CO,RW-9901,4,09/06/2026
D-103,Cascade Cyclery,OR,RW-1378,4,09/05/2026
D-103,Cascade Cyclery,OR,RW-2984,3,09/05/2026
D-103,Cascade Cyclery,OR,RW-3980,2,09/02/2026
D-103,Cascade Cyclery,OR,RW-6416,3,09/07/2026
D-103,Cascade Cyclery,OR,RW-7298,4,09/05/2026
D-103,Cascade Cyclery,OR,RW-9304,1,09/03/2026
D-103,Cascade Cyclery,OR,RW-9324,16,09/03/2026
D-103,Cascade Cyclery,OR,RW-9835,3,09/02/2026
D-104,Peak Performance Bikes,WA,RW-1378,2,09/03/2026
D-104,Peak Performance Bikes,WA,RW-2984,1,09/06/2026
D-104,Peak Performance Bikes,WA,RW-6416,5,09/05/2026
D-104,Peak Performance Bikes,WA,RW-9324,4,09/07/2026
D-104,Peak Performance Bikes,WA,RW-9901,3,09/07/2026
D-105,Trailhead Bicycle Co,UT,RW-1378,6,09/07/2026
D-105,Trailhead Bicycle Co,UT,RW-2984,5,09/03/2026
D-105,Trailhead Bicycle Co,UT,RW-3980,1,09/05/2026
