order_id,order_date,customer_id,ship_to_state,sku,class,size,trim,qty,unit_price,is_fulfilled,ship_date
WEB-100014,2025-09-08,C000013,OR,RW-9835,road,M,base,1,1899,true,2025-09-16
WEB-100019,2025-09-08,C000018,TX,RW-9835,road,M,base,1,1899,true,2025-09-12
WEB-100032,2025-09-08,C000030,MT,RW-2984,road,M,carbon,1,3999,true,2025-09-10
WEB-100033,2025-09-08,C000031,FL,RW-2984,road,M,carbon,1,3999,true,2025-09-11
WEB-100034,2025-09-08,C000032,MT,RW-2984,road,M,carbon,1,3999,true,2025-09-10
WEB-100039,2025-09-08,C000036,ID,RW-2984,road,M,carbon,1,3999,true,2025-09-10
WEB-100040,2025-09-08,C000037,MI,RW-2984,road,M,carbon,1,3999,true,2025-09-14
WEB-100058,2025-09-08,C000007,OR,RW-7298,road,L,base,1,1899,true,2025-09-12
WEB-100064,2025-09-08,C000018,MT,RW-1378,road,L,carbon,1,3999,true,2025-09-12
WEB-100075,2025-09-08,C000067,MI,RW-9304,mtb,S,carbon,1,4899,true,2025-09-10
WEB-100079,2025-09-08,C000071,AZ,RW-9304,mtb,S,carbon,1,4899,true,2025-09-17
WEB-100084,2025-09-08,C000076,MT,RW-9324,mtb,M,base,1,2299,true,2025-09-15
WEB-100087,2025-09-08,C000079,MI,RW-9324,mtb,M,base,1,2299,true,2025-09-12
WEB-100090,2025-09-08,C000082,CA,RW-9324,mtb,M,base,1,2299,true,2025-09-18
WEB-100109,2025-09-08,C000101,ID,RW-4418,mtb,M,carbon,1,4899,true,2025-09-16
WEB-100116,2025-09-08,C000107,IL,RW-9901,mtb,L,base,1,2299,true,2025-09-18
WEB-100121,2025-09-08,C000112,MI,RW-9901,mtb,L,base,1,2299,true,2025-09-11
WEB-100006,2025-09-09,C000002,GA,RW-3980,road,S,carbon,1,3999,true,2025-09-11
WEB-100022,2025-09-09,C000021,WA,RW-9835,road,M,base,1,1899,true,2025-09-14
WEB-100051,2025-09-09,C000047,CA,RW-7298,road,L,base,1,1899,true,2025-09-14
WEB-100053,2025-09-09,C000049,AZ,RW-7298,road,L,base,1,1899,true,2025-09-17
WEB-100062,2025-09-09,C000057,VT,RW-1378,road,L,carbon,1,3999,true,2025-09-15
WEB-100066,2025-09-09,C000034,MA,RW-1378,road,L,carbon,1,3999,true,2025-09-12
WEB-100067,2025-09-09,C000059,VT,RW-1378,road,L,carbon,1,3999,true,2025-09-18
WEB-100070,2025-09-09,C000062,PA,RW-9304,mtb,S,carbon,1,4899,true,2025-09-16
WEB-100072,2025-09-09,C000064,MT,RW-9304,mtb,S,carbon,1,4899,true,2025-09-12
WEB-100081,2025-09-09,C000073,IL,RW-9304,mtb,S,carbon,1,4899,true,2025-09-15
WEB-100097,2025-09-09,C000089,MI,RW-9324,mtb,M,base,1,2299,true,2025-09-14
WEB-100106,2025-09-09,C000098,IL,RW-4418,mtb,M,carbon,1,4899,true,2025-09-11
WEB-100118,2025-09-09,C000109,TX,RW-9901,mtb,L,base,1,2299,true,2025-09-11
WEB-100122,2025-09-09,C000113,CO,RW-9901,mtb,L,base,1,2299,true,2025-09-18
WEB-100126,2025-09-09,C000117,MN,RW-9901,mtb,L,base,1,2299,true,2025-09-16
WEB-100127,2025-09-09,C000118,CO,RW-9901,mtb,L,base,1,2299,true,2025-09-17
WEB-100131,2025-09-09,C000121,UT,RW-6416,mtb,L,carbon,1,4899,true,2025-09-15
WEB-100003,2025-09-10,C000003,MT,RW-3980,road,S,carbon,1,3999,true,2025-09-15
WEB-100005,2025-09-10,C000005,NY,RW-3980,road,S,carbon,1,3999,true,2025-09-16
WEB-100008,2025-09-10,C000007,TX,RW-3980,road,S,carbon,1,3999,true,2025-09-13
WEB-100010,2025-09-10,C000009,MT,RW-3980,road,S,carbon,1,3999,true,2025-09-18
WEB-100013,2025-09-10,C000012,FL,RW-9835,road,M,base,1,1899,true,2025-09-15
WEB-100018,2025-09-10,C000017,TX,RW-9835,road,M,base,1,1899,true,2025-09-15
WEB-100024,2025-09-10,C000023,NY,RW-9835,road,M,base,1,1899,true,2025-09-16
WEB-100028,2025-09-10,C000026,TX,RW-9835,road,M,base,1,1899,true,2025-09-20
WEB-100036,2025-09-10,C000031,MN,RW-2984,road,M,carbon,1,3999,true,2025-09-19
WEB-100045,2025-09-10,C000042,NC,RW-2984,road,M,carbon,1,3999,true,2025-09-17
WEB-100048,2025-09-10,C000045,MT,RW-7298,road,L,base,1,1899,true,2025-09-14
WEB-100055,2025-09-10,C000051,ID,RW-7298,road,L,base,1,1899,true,2025-09-17
WEB-100077,2025-09-10,C000069,MA,RW-9304,mtb,S,carbon,1,4899,true,2025-09-13
WEB-100089,2025-09-10,C000081,ID,RW-9324,mtb,M,base,1,2299,true,2025-09-13
WEB-100091,2025-09-10,C000083,OR,RW-9324,mtb,M,base,1,2299,true,2025-09-19
WEB-100093,2025-09-10,C000085,UT,RW-9324,mtb,M,base,1,2299,true,2025-09-20
WEB-100096,2025-09-10,C000088,GA,RW-9324,mtb,M,base,1,2299,true,2025-09-16
WEB-100119,2025-09-10,C000110,WA,RW-9901,mtb,L,base,1,2299,true,2025-09-13
WEB-100120,2025-09-10,C000111,WA,RW-9901,mtb,L,base,1,2299,true,2025-09-13
WEB-100124,2025-09-10,C000115,MN,RW-9901,mtb,L,base,1,2299,true,2025-09-18
WEB-100128,2025-09-10,C000119,IL,RW-6416,mtb,L,carbon,1,4899,true,2025-09-20
WEB-100027,2025-09-11,C000001,IL,RW-9835,road,M,base,1,1899,true,2025-09-18
WEB-100031,2025-09-11,C000029,OR,RW-2984,road,M,carbon,1,3999,true,2025-09-21
WEB-100038,2025-09-11,C000035,AZ,RW-2984,road,M,carbon,1,3999,true,2025-09-19
