week_start,sku,forecast_units
2026-09-07,RW-3980,5
2026-09-07,RW-9835,14
2026-09-07,RW-2984,6
2026-09-07,RW-7298,8
2026-09-07,RW-1378,3
2026-09-07,RW-9304,6
2026-09-07,RW-9324,3
2026-09-07,RW-4418,6
2026-09-07,RW-9901,13
2026-09-07,RW-6416,4
2026-09-14,RW-3980,5
2026-09-14,RW-9835,14
2026-09-14,RW-2984,6
2026-09-14,RW-7298,8
2026-09-14,RW-1378,3
2026-09-14,RW-9304,6
2026-09-14,RW-9324,3
2026-09-14,RW-4418,6
2026-09-14,RW-9901,13
2026-09-14,RW-6416,4
2026-09-21,RW-3980,5
2026-09-21,RW-9835,14
2026-09-21,RW-2984,6
2026-09-21,RW-7298,8
2026-09-21,RW-1378,3
2026-09-21,RW-9304,6
2026-09-21,RW-9324,3
2026-09-21,RW-4418,6
2026-09-21,RW-9901,13
2026-09-21,RW-6416,4
2026-09-28,RW-3980,5
2026-09-28,RW-9835,14
2026-09-28,RW-2984,6
2026-09-28,RW-7298,8
2026-09-28,RW-1378,3
2026-09-28,RW-9304,6
2026-09-28,RW-9324,3
2026-09-28,RW-4418,6
2026-09-28,RW-9901,13
2026-09-28,RW-6416,4
2026-10-05,RW-3980,5
2026-10-05,RW-9835,14
2026-10-05,RW-2984,6
2026-10-05,RW-7298,8
2026-10-05,RW-1378,3
2026-10-05,RW-9304,6
2026-10-05,RW-9324,3
2026-10-05,RW-4418,6
2026-10-05,RW-9901,13
2026-10-05,RW-6416,4
2026-10-12,RW-3980,5
2026-10-12,RW-9835,14
2026-10-12,RW-2984,6
2026-10-12,RW-7298,8
2026-10-12,RW-1378,3
2026-10-12,RW-9304,6
2026-10-12,RW-9324,3
2026-10-12,RW-4418,6
2026-10-12,RW-9901,13
2026-10-12,RW-6416,4
2026-10-19,RW-3980,5
2026-10-19,RW-9835,14
2026-10-19,RW-2984,6
2026-10-19,RW-7298,8
2026-10-19,RW-1378,3
2026-10-19,RW-9304,6
2026-10-19,RW-9324,3
2026-10-19,RW-4418,6
2026-10-19,RW-9901,13
2026-10-19,RW-6416,4
2026-10-26,RW-3980,5
2026-10-26,RW-9835,14
2026-10-26,RW-2984,6
2026-10-26,RW-7298,8
2026-10-26,RW-1378,3
2026-10-26,RW-9304,6
2026-10-26,RW-9324,3
2026-10-26,RW-4418,6
2026-10-26,RW-9901,13
2026-10-26,RW-6416,4
2026-11-02,RW-3980,5
2026-11-02,RW-9835,14
2026-11-02,RW-2984,6
2026-11-02,RW-7298,8
2026-11-02,RW-1378,3
2026-11-02,RW-9304,6
2026-11-02,RW-9324,3
2026-11-02,RW-4418,7
2026-11-02,RW-9901,13
2026-11-02,RW-6416,4
2026-11-09,RW-3980,5
2026-11-09,RW-9835,13
2026-11-09,RW-2984,6
2026-11-09,RW-7298,8
2026-11-09,RW-1378,3
2026-11-09,RW-9304,6
2026-11-09,RW-9324,3
2026-11-09,RW-4418,7
2026-11-09,RW-9901,13
2026-11-09,RW-6416,4
2026-11-16,RW-3980,5
2026-11-16,RW-9835,13
2026-11-16,RW-2984,6
2026-11-16,RW-7298,8
2026-11-16,RW-1378,3
2026-11-16,RW-9304,6
2026-11-16,RW-9324,3
2026-11-16,RW-4418,7
2026-11-16,RW-9901,13
2026-11-16,RW-6416,4
2026-11-23,RW-3980,5
2026-11-23,RW-9835,13
2026-11-23,RW-2984,6
2026-11-23,RW-7298,8
2026-11-23,RW-1378,3
2026-11-23,RW-9304,6
2026-11-23,RW-9324,3
2026-11-23,RW-4418,7
2026-11-23,RW-9901,13
2026-11-23,RW-6416,4
2026-11-30,RW-3980,5
2026-11-30,RW-9835,13
2026-11-30,RW-2984,6
2026-11-30,RW-7298,8
2026-11-30,RW-1378,3
2026-11-30,RW-9304,6
2026-11-30,RW-9324,3
2026-11-30,RW-4418,7
2026-11-30,RW-9901,13
2026-11-30,RW-6416,4
2026-12-07,RW-3980,6
2026-12-07,RW-9835,16
2026-12-07,RW-2984,7
2026-12-07,RW-7298,10
2026-12-07,RW-1378,4
2026-12-07,RW-9304,8
2026-12-07,RW-9324,4
2026-12-07,RW-4418,9
2026-12-07,RW-9901,16
2026-12-07,RW-6416,5
2026-12-14,RW-3980,6
2026-12-14,RW-9835,16
2026-12-14,RW-2984,7
2026-12-14,RW-7298,10
2026-12-14,RW-1378,4
2026-12-14,RW-9304,8
2026-12-14,RW-9324,4
2026-12-14,RW-4418,9
2026-12-14,RW-9901,16
2026-12-14,RW-6416,5
2026-12-21,RW-3980,6
2026-12-21,RW-9835,16
2026-12-21,RW-2984,7
2026-12-21,RW-7298,10
2026-12-21,RW-1378,4
2026-12-21,RW-9304,8
2026-12-21,RW-9324,4
2026-12-21,RW-4418,9
2026-12-21,RW-9901,16
2026-12-21,RW-6416,5
2026-12-28,RW-3980,6
2026-12-28,RW-9835,16
2026-12-28,RW-2984,7
2026-12-28,RW-7298,10
2026-12-28,RW-1378,4
2026-12-28,RW-9304,8
2026-12-28,RW-9324,4
2026-12-28,RW-4418,9
2026-12-28,RW-9901,16
2026-12-28,RW-6416,5
2027-01-04,RW-3980,6
2027-01-04,RW-9835,16
2027-01-04,RW-2984,7
2027-01-04,RW-7298,10
2027-01-04,RW-1378,4
2027-01-04,RW-9304,8
2027-01-04,RW-9324,4
2027-01-04,RW-4418,9
2027-01-04,RW-9901,16
2027-01-04,RW-6416,5
2027-01-11,RW-3980,6
2027-01-11,RW-9835,16
2027-01-11,RW-2984,7
2027-01-11,RW-7298,10
2027-01-11,RW-1378,4
2027-01-11,RW-9304,8
2027-01-11,RW-9324,4
2027-01-11,RW-4418,9
2027-01-11,RW-9901,16
2027-01-11,RW-6416,5
2027-01-18,RW-3980,6
2027-01-18,RW-9835,16
2027-01-18,RW-2984,7
2027-01-18,RW-7298,10
2027-01-18,RW-1378,4
2027-01-18,RW-9304,8
2027-01-18,RW-9324,4
2027-01-18,RW-4418,9
2027-01-18,RW-9901,16
2027-01-18,RW-6416,5
2027-01-25,RW-3980,6
2027-01-25,RW-9835,16
2027-01-25,RW-2984,7
2027-01-25,RW-7298,9
2027-01-25,RW-1378,4
2027-01-25,RW-9304,8
2027-01-25,RW-9324,4
2027-01-25,RW-4418,9
2027-01-25,RW-9901,17
2027-01-25,RW-6416,6
2027-02-01,RW-3980,6
2027-02-01,RW-9835,16
2027-02-01,RW-2984,7
2027-02-01,RW-7298,9
2027-02-01,RW-1378,4
2027-02-01,RW-9304,8
2027-02-01,RW-9324,4
2027-02-01,RW-4418,9
2027-02-01,RW-9901,17
2027-02-01,RW-6416,6
2027-02-08,RW-3980,6
2027-02-08,RW-9835,16
2027-02-08,RW-2984,7
2027-02-08,RW-7298,9
2027-02-08,RW-1378,4
2027-02-08,RW-9304,8
2027-02-08,RW-9324,4
2027-02-08,RW-4418,9
2027-02-08,RW-9901,17
2027-02-08,RW-6416,6
2027-02-15,RW-3980,5
2027-02-15,RW-9835,16
2027-02-15,RW-2984,7
2027-02-15,RW-7298,9
2027-02-15,RW-1378,4
2027-02-15,RW-9304,9
2027-02-15,RW-9324,4
2027-02-15,RW-4418,9
2027-02-15,RW-9901,17
2027-02-15,RW-6416,6
2027-02-22,RW-3980,5
2027-02-22,RW-9835,15
2027-02-22,RW-2984,7
2027-02-22,RW-7298,9
2027-02-22,RW-1378,4
2027-02-22,RW-9304,9
2027-02-22,RW-9324,4
2027-02-22,RW-4418,10
2027-02-22,RW-9901,17
2027-02-22,RW-6416,6
2027-03-01,RW-3980,9
2027-03-01,RW-9835,25
2027-03-01,RW-2984,11
2027-03-01,RW-7298,15
2027-03-01,RW-1378,7
2027-03-01,RW-9304,14
2027-03-01,RW-9324,7
2027-03-01,RW-4418,15
2027-03-01,RW-9901,27
2027-03-01,RW-6416,9
2027-03-08,RW-3980,9
2027-03-08,RW-9835,24
2027-03-08,RW-2984,11
2027-03-08,RW-7298,15
2027-03-08,RW-1378,7
2027-03-08,RW-9304,14
2027-03-08,RW-9324,7
2027-03-08,RW-4418,16
2027-03-08,RW-9901,27
2027-03-08,RW-6416,9
2027-03-15,RW-3980,9
2027-03-15,RW-9835,24
2027-03-15,RW-2984,11
2027-03-15,RW-7298,15
2027-03-15,RW-1378,7
2027-03-15,RW-9304,14
2027-03-15,RW-9324,7
2027-03-15,RW-4418,16
2027-03-15,RW-9901,27
2027-03-15,RW-6416,9
2027-03-22,RW-3980,9
2027-03-22,RW-9835,24
2027-03-22,RW-2984,11
2027-03-22,RW-7298,15
2027-03-22,RW-1378,7
2027-03-22,RW-9304,14
2027-03-22,RW-9324,7
2027-03-22,RW-4418,16
2027-03-22,RW-9901,27
2027-03-22,RW-6416,10
2027-03-29,RW-3980,9
2027-03-29,RW-9835,24
2027-03-29,RW-2984,11
2027-03-29,RW-7298,14
2027-03-29,RW-1378,7
2027-03-29,RW-9304,14
2027-03-29,RW-9324,7
2027-03-29,RW-4418,16
2027-03-29,RW-9901,27
2027-03-29,RW-6416,10
2027-04-05,RW-3980,9
2027-04-05,RW-9835,24
2027-04-05,RW-2984,11
2027-04-05,RW-7298,14
2027-04-05,RW-1378,7
2027-04-05,RW-9304,14
2027-04-05,RW-9324,7
2027-04-05,RW-4418,16
2027-04-05,RW-9901,27
2027-04-05,RW-6416,10
2027-04-12,RW-3980,9
2027-04-12,RW-9835,24
2027-04-12,RW-2984,11
2027-04-12,RW-7298,14
2027-04-12,RW-1378,7
2027-04-12,RW-9304,14
2027-04-12,RW-9324,7
2027-04-12,RW-4418,16
2027-04-12,RW-9901,27
2027-04-12,RW-6416,10
2027-04-19,RW-3980,9
2027-04-19,RW-9835,24
2027-04-19,RW-2984,11
2027-04-19,RW-7298,14
2027-04-19,RW-1378,7
2027-04-19,RW-9304,14
2027-04-19,RW-9324,7
2027-04-19,RW-4418,17
2027-04-19,RW-9901,27
2027-04-19,RW-6416,10
2027-04-26,RW-3980,9
2027-04-26,RW-9835,23
2027-04-26,RW-2984,11
2027-04-26,RW-7298,14
2027-04-26,RW-1378,7
2027-04-26,RW-9304,14
2027-04-26,RW-9324,7
2027-04-26,RW-4418,17
