week_start,sku,forecast_units
2026-09-07,RW-3980,19
2026-09-07,RW-9835,22
2026-09-07,RW-2984,23
2026-09-07,RW-7298,13
2026-09-07,RW-1378,14
2026-09-07,RW-9304,25
2026-09-07,RW-9324,5
2026-09-07,RW-4418,25
2026-09-07,RW-9901,20
2026-09-07,RW-6416,15
2026-09-14,RW-3980,19
2026-09-14,RW-9835,22
2026-09-14,RW-2984,23
2026-09-14,RW-7298,13
2026-09-14,RW-1378,14
2026-09-14,RW-9304,25
2026-09-14,RW-9324,5
2026-09-14,RW-4418,25
2026-09-14,RW-9901,20
2026-09-14,RW-6416,15
2026-09-21,RW-3980,19
2026-09-21,RW-9835,22
2026-09-21,RW-2984,23
2026-09-21,RW-7298,13
2026-09-21,RW-1378,14
2026-09-21,RW-9304,25
2026-09-21,RW-9324,5
2026-09-21,RW-4418,25
2026-09-21,RW-9901,20
2026-09-21,RW-6416,15
2026-09-28,RW-3980,19
2026-09-28,RW-9835,22
2026-09-28,RW-2984,23
2026-09-28,RW-7298,13
2026-09-28,RW-1378,14
2026-09-28,RW-9304,25
2026-09-28,RW-9324,5
2026-09-28,RW-4418,26
2026-09-28,RW-9901,20
2026-09-28,RW-6416,15
2026-10-05,RW-3980,19
2026-10-05,RW-9835,22
2026-10-05,RW-2984,23
2026-10-05,RW-7298,13
2026-10-05,RW-1378,14
2026-10-05,RW-9304,26
2026-10-05,RW-9324,5
2026-10-05,RW-4418,26
2026-10-05,RW-9901,20
2026-10-05,RW-6416,16
2026-10-12,RW-3980,19
2026-10-12,RW-9835,22
2026-10-12,RW-2984,23
2026-10-12,RW-7298,13
2026-10-12,RW-1378,14
2026-10-12,RW-9304,26
2026-10-12,RW-9324,5
2026-10-12,RW-4418,26
2026-10-12,RW-9901,20
2026-10-12,RW-6416,16
2026-10-19,RW-3980,19
2026-10-19,RW-9835,21
2026-10-19,RW-2984,23
2026-10-19,RW-7298,13
2026-10-19,RW-1378,14
2026-10-19,RW-9304,26
2026-10-19,RW-9324,5
2026-10-19,RW-4418,27
2026-10-19,RW-9901,20
2026-10-19,RW-6416,16
2026-10-26,RW-3980,19
2026-10-26,RW-9835,21
2026-10-26,RW-2984,23
2026-10-26,RW-7298,13
2026-10-26,RW-1378,14
2026-10-26,RW-9304,26
2026-10-26,RW-9324,5
2026-10-26,RW-4418,27
2026-10-26,RW-9901,20
2026-10-26,RW-6416,16
2026-11-02,RW-3980,19
2026-11-02,RW-9835,21
2026-11-02,RW-2984,23
2026-11-02,RW-7298,13
2026-11-02,RW-1378,14
2026-11-02,RW-9304,26
2026-11-02,RW-9324,5
2026-11-02,RW-4418,27
2026-11-02,RW-9901,20
2026-11-02,RW-6416,16
2026-11-09,RW-3980,19
2026-11-09,RW-9835,21
2026-11-09,RW-2984,23
2026-11-09,RW-7298,13
2026-11-09,RW-1378,14
2026-11-09,RW-9304,26
2026-11-09,RW-9324,5
2026-11-09,RW-4418,27
2026-11-09,RW-9901,20
2026-11-09,RW-6416,16
2026-11-16,RW-3980,19
2026-11-16,RW-9835,21
2026-11-16,RW-2984,23
2026-11-16,RW-7298,13
2026-11-16,RW-1378,14
2026-11-16,RW-9304,26
2026-11-16,RW-9324,5
2026-11-16,RW-4418,28
2026-11-16,RW-9901,20
2026-11-16,RW-6416,17
2026-11-23,RW-3980,19
2026-11-23,RW-9835,21
2026-11-23,RW-2984,23
2026-11-23,RW-7298,13
2026-11-23,RW-1378,14
2026-11-23,RW-9304,27
2026-11-23,RW-9324,5
2026-11-23,RW-4418,28
2026-11-23,RW-9901,20
2026-11-23,RW-6416,17
2026-11-30,RW-3980,19
2026-11-30,RW-9835,21
2026-11-30,RW-2984,23
2026-11-30,RW-7298,12
2026-11-30,RW-1378,14
2026-11-30,RW-9304,27
2026-11-30,RW-9324,5
2026-11-30,RW-4418,28
2026-11-30,RW-9901,20
2026-11-30,RW-6416,17
2026-12-07,RW-3980,23
2026-12-07,RW-9835,26
2026-12-07,RW-2984,29
2026-12-07,RW-7298,15
2026-12-07,RW-1378,18
2026-12-07,RW-9304,34
2026-12-07,RW-9324,6
2026-12-07,RW-4418,36
2026-12-07,RW-9901,26
2026-12-07,RW-6416,21
2026-12-14,RW-3980,23
2026-12-14,RW-9835,26
2026-12-14,RW-2984,29
2026-12-14,RW-7298,15
2026-12-14,RW-1378,18
2026-12-14,RW-9304,34
2026-12-14,RW-9324,6
2026-12-14,RW-4418,36
2026-12-14,RW-9901,26
2026-12-14,RW-6416,22
2026-12-21,RW-3980,23
2026-12-21,RW-9835,26
2026-12-21,RW-2984,29
2026-12-21,RW-7298,15
2026-12-21,RW-1378,18
2026-12-21,RW-9304,34
2026-12-21,RW-9324,6
2026-12-21,RW-4418,36
2026-12-21,RW-9901,26
2026-12-21,RW-6416,22
2026-12-28,RW-3980,23
2026-12-28,RW-9835,25
2026-12-28,RW-2984,29
2026-12-28,RW-7298,15
2026-12-28,RW-1378,18
2026-12-28,RW-9304,34
2026-12-28,RW-9324,6
2026-12-28,RW-4418,37
2026-12-28,RW-9901,26
2026-12-28,RW-6416,22
2027-01-04,RW-3980,23
2027-01-04,RW-9835,25
2027-01-04,RW-2984,29
2027-01-04,RW-7298,15
2027-01-04,RW-1378,18
2027-01-04,RW-9304,34
2027-01-04,RW-9324,6
2027-01-04,RW-4418,37
2027-01-04,RW-9901,26
2027-01-04,RW-6416,22
2027-01-11,RW-3980,23
2027-01-11,RW-9835,25
2027-01-11,RW-2984,29
2027-01-11,RW-7298,15
2027-01-11,RW-1378,18
2027-01-11,RW-9304,35
2027-01-11,RW-9324,6
2027-01-11,RW-4418,38
2027-01-11,RW-9901,26
2027-01-11,RW-6416,23
2027-01-18,RW-3980,23
2027-01-18,RW-9835,25
2027-01-18,RW-2984,29
2027-01-18,RW-7298,15
2027-01-18,RW-1378,18
2027-01-18,RW-9304,35
2027-01-18,RW-9324,6
2027-01-18,RW-4418,38
2027-01-18,RW-9901,26
2027-01-18,RW-6416,23
2027-01-25,RW-3980,23
2027-01-25,RW-9835,25
2027-01-25,RW-2984,29
2027-01-25,RW-7298,15
2027-01-25,RW-1378,18
2027-01-25,RW-9304,35
2027-01-25,RW-9324,6
2027-01-25,RW-4418,38
2027-01-25,RW-9901,26
2027-01-25,RW-6416,23
2027-02-01,RW-3980,23
2027-02-01,RW-9835,25
2027-02-01,RW-2984,29
2027-02-01,RW-7298,15
2027-02-01,RW-1378,18
2027-02-01,RW-9304,35
2027-02-01,RW-9324,7
2027-02-01,RW-4418,39
2027-02-01,RW-9901,26
2027-02-01,RW-6416,23
2027-02-08,RW-3980,23
2027-02-08,RW-9835,25
2027-02-08,RW-2984,29
2027-02-08,RW-7298,15
2027-02-08,RW-1378,18
2027-02-08,RW-9304,35
2027-02-08,RW-9324,7
2027-02-08,RW-4418,39
2027-02-08,RW-9901,26
2027-02-08,RW-6416,23
2027-02-15,RW-3980,23
2027-02-15,RW-9835,24
2027-02-15,RW-2984,29
2027-02-15,RW-7298,15
2027-02-15,RW-1378,18
2027-02-15,RW-9304,36
2027-02-15,RW-9324,7
2027-02-15,RW-4418,39
2027-02-15,RW-9901,26
2027-02-15,RW-6416,24
2027-02-22,RW-3980,23
2027-02-22,RW-9835,24
2027-02-22,RW-2984,29
2027-02-22,RW-7298,15
2027-02-22,RW-1378,18
2027-02-22,RW-9304,36
2027-02-22,RW-9324,7
2027-02-22,RW-4418,40
2027-02-22,RW-9901,26
2027-02-22,RW-6416,24
2027-03-01,RW-3980,36
2027-03-01,RW-9835,39
2027-03-01,RW-2984,47
2027-03-01,RW-7298,23
