week_start,sku,forecast_units
2026-09-07,RW-3980,15
2026-09-07,RW-9835,14
2026-09-07,RW-2984,18
2026-09-07,RW-7298,8
2026-09-07,RW-1378,11
2026-09-07,RW-9304,19
2026-09-07,RW-9324,3
2026-09-07,RW-4418,19
2026-09-07,RW-9901,13
2026-09-07,RW-6416,11
2026-09-14,RW-3980,15
2026-09-14,RW-9835,14
2026-09-14,RW-2984,18
2026-09-14,RW-7298,8
2026-09-14,RW-1378,11
2026-09-14,RW-9304,19
2026-09-14,RW-9324,3
2026-09-14,RW-4418,19
2026-09-14,RW-9901,13
2026-09-14,RW-6416,11
2026-09-21,RW-3980,15
2026-09-21,RW-9835,14
2026-09-21,RW-2984,18
2026-09-21,RW-7298,8
2026-09-21,RW-1378,11
2026-09-21,RW-9304,19
2026-09-21,RW-9324,3
2026-09-21,RW-4418,19
2026-09-21,RW-9901,13
2026-09-21,RW-6416,12
2026-09-28,RW-3980,15
2026-09-28,RW-9835,14
2026-09-28,RW-2984,18
2026-09-28,RW-7298,8
2026-09-28,RW-1378,11
2026-09-28,RW-9304,19
2026-09-28,RW-9324,3
2026-09-28,RW-4418,20
2026-09-28,RW-9901,13
2026-09-28,RW-6416,12
2026-10-05,RW-3980,15
2026-10-05,RW-9835,14
2026-10-05,RW-2984,18
2026-10-05,RW-7298,8
2026-10-05,RW-1378,11
2026-10-05,RW-9304,19
2026-10-05,RW-9324,3
2026-10-05,RW-4418,20
2026-10-05,RW-9901,13
2026-10-05,RW-6416,12
2026-10-12,RW-3980,15
2026-10-12,RW-9835,14
2026-10-12,RW-2984,18
2026-10-12,RW-7298,8
2026-10-12,RW-1378,11
2026-10-12,RW-9304,20
2026-10-12,RW-9324,3
2026-10-12,RW-4418,20
2026-10-12,RW-9901,13
2026-10-12,RW-6416,12
2026-10-19,RW-3980,15
2026-10-19,RW-9835,14
2026-10-19,RW-2984,18
2026-10-19,RW-7298,8
2026-10-19,RW-1378,11
2026-10-19,RW-9304,20
2026-10-19,RW-9324,3
2026-10-19,RW-4418,20
2026-10-19,RW-9901,13
2026-10-19,RW-6416,12
2026-10-26,RW-3980,14
2026-10-26,RW-9835,14
2026-10-26,RW-2984,18
2026-10-26,RW-7298,8
2026-10-26,RW-1378,11
2026-10-26,RW-9304,20
2026-10-26,RW-9324,3
2026-10-26,RW-4418,20
2026-10-26,RW-9901,13
2026-10-26,RW-6416,12
2026-11-02,RW-3980,14
2026-11-02,RW-9835,14
2026-11-02,RW-2984,18
2026-11-02,RW-7298,8
2026-11-02,RW-1378,11
2026-11-02,RW-9304,20
2026-11-02,RW-9324,3
2026-11-02,RW-4418,21
2026-11-02,RW-9901,13
2026-11-02,RW-6416,12
2026-11-09,RW-3980,14
2026-11-09,RW-9835,13
2026-11-09,RW-2984,18
2026-11-09,RW-7298,8
2026-11-09,RW-1378,11
2026-11-09,RW-9304,20
2026-11-09,RW-9324,3
2026-11-09,RW-4418,21
2026-11-09,RW-9901,13
2026-11-09,RW-6416,12
2026-11-16,RW-3980,14
2026-11-16,RW-9835,13
2026-11-16,RW-2984,18
