as_of_date,location_code,location_name,sku,on_hand_qty
2026-09-07,RENO-FG,Reno Plant - Finished Goods,RW-3980,56
2026-09-07,CMH-DC,Columbus Distribution Center,RW-3980,34
2026-09-07,RENO-FG,Reno Plant - Finished Goods,RW-9835,204
2026-09-07,CMH-DC,Columbus Distribution Center,RW-9835,96
2026-09-07,RENO-FG,Reno Plant - Finished Goods,RW-2984,129
2026-09-07,CMH-DC,Columbus Distribution Center,RW-2984,71
2026-09-07,RENO-FG,Reno Plant - Finished Goods,RW-7298,160
2026-09-07,CMH-DC,Columbus Distribution Center,RW-7298,90
2026-09-07,RENO-FG,Reno Plant - Finished Goods,RW-1378,92
2026-09-07,CMH-DC,Columbus Distribution Center,RW-1378,58
2026-09-07,RENO-FG,Reno Plant - Finished Goods,RW-9304,10
2026-09-07,CMH-DC,Columbus Distribution Center,RW-9304,0
2026-09-07,RENO-FG,Reno Plant - Finished Goods,RW-9324,1250
2026-09-07,CMH-DC,Columbus Distribution Center,RW-9324,650
2026-09-07,RENO-FG,Reno Plant - Finished Goods,RW-4418,25
2026-09-07,CMH-DC,Columbus Distribution Center,RW-4418,0
2026-09-07,RENO-FG,Reno Plant - Finished Goods,RW-9901,24
2026-09-07,CMH-DC,Columbus Distribution Center,RW-9901,36
2026-09-07,RENO-FG,Reno Plant - Finished Goods,RW-6416,15
2026-09-07,CMH-DC,Columbus Distribution Center,RW-6416,0
